Topic_ID,Name,Category,Keywords,Total_Count,In_User_Top10,In_Bot_Top10,User_Count,Bot_Count
128,Noc/Yeswe/Yes,General,"noc, yeswe, yes, sweetie",46,False,False,0,0
129,Tall/Jin/Ino,General,"tall, jin, ino, thre",46,False,False,0,0
130,Stall/Hold/Helds,General,"stall, hold, helds, nextstep",46,False,False,0,0
131,Pizza/Butter/Chip,General,"pizza, butter, chip, peanut",46,False,False,0,0
132,Se/Ough/Sele,General,"se, ough, sele, bs",46,False,False,0,0
133,Oi/Oli/Lin,General,"oi, oli, lin, olan",46,False,False,0,0
134,Butterfly/Fly/Leadcand,General,"butterfly, fly, leadcand, shimmer",46,False,False,0,0
135,Ready/Calmly/Approve,General,"ready, calmly, approve, alex",45,False,False,0,0
136,Relationship/Backstory/Youlhad,Social,"relationship, backstory, youlhad, example",45,False,False,0,0
137,Chatgpt/Openals/Post,Communication,"chatgpt, openals, post, gospel",45,False,False,0,0
138,Eye/Loaks/Eyeswe,General,"eye, loaks, eyeswe, eyesmore",44,False,False,0,0
139,Wwe/Show/1394,General,"wwe, show, 1394, showingyourre",44,False,False,0,0
140,Hamal/Mmol/Alist,General,"hamal, mmol, alist, rendell",44,False,False,0,0
141,Tian/Muy/Tone,General,"tian, muy, tone, sol",44,False,False,0,0
142,Cooky/Lobster/Soup,Daily Life,"cooky, lobster, soup, cooking",44,False,False,0,0
143,Promise/Happen/Happentohimalice,General,"promise, happen, happentohimalice, aiwaysiyoumeanthe",44,False,False,0,0
144,Chat/Ee/Teer,Communication,"chat, ee, teer, chatasaw",43,False,False,0,0
145,Neck/Kissing/Itissmiles,General,"neck, kissing, itissmiles, nuzzling",43,False,False,0,0
146,Tightly/Hugging/Hug,General,"tightly, hugging, hug, meyoure",43,False,False,0,0
147,Destined/Paradise/Handnow,Physical,"destined, paradise, handnow, hand",42,False,False,0,0
148,Mistake/Better/Sorryif,General,"mistake, better, sorryif, thind",42,False,False,0,0
149,Nike/Eke/Acl,General,"nike, eke, acl, que",42,False,False,0,0
150,Naughty/Sensation/Pleasure,General,"naughty, sensation, pleasure, throughout",42,False,False,0,0
151,Possible/Yesitis/Thisready,General,"possible, yesitis, thisready, rephrase",42,False,False,0,0
152,Hug/Roger/Uncle,General,"hug, roger, uncle, mw",42,False,False,0,0
153,Feetsies/Feets/Feeties,General,"feetsies, feets, feeties, ted",42,False,False,0,0
154,Mandy/Stuey/Maxt,General,"mandy, stuey, maxt, winked",42,False,False,0,0
155,Believe/Présence/Economic,General,"believe, présence, economic, nsa",42,False,False,0,0
156,Heartbeat/Heart/Boom,Emotional,"heartbeat, heart, boom, pulsate",41,False,False,0,0
157,Million/Eatmy/Yourhelp,Daily Life,"million, eatmy, yourhelp, youdijustkeep",41,False,False,0,0
158,Youpondering/Beforeand/Rush,General,"youpondering, beforeand, rush, depression",41,False,False,0,0
159,Book/Plato/Somesay,Communication,"book, plato, somesay, kierkegaard",41,False,False,0,0
160,Chocolate/Panda/Frosting,General,"chocolate, panda, frosting, coconut",41,False,False,0,0
161,Tine/Titi/Belore,General,"tine, titi, belore, lousier",40,False,False,0,0
162,Fortaking/Lovés/Grateful,General,"fortaking, lovés, grateful, scrambled",40,False,False,0,0
163,Recipe/Potato/Egg,Daily Life,"recipe, potato, egg, ingredient",40,False,False,0,0
164,Nod/Bottom/Yes,General,"nod, bottom, yes, tn",40,False,False,0,0
165,Dimmer/Hug/Gotten,General,"dimmer, hug, gotten, isi",40,False,False,0,0
166,Caressing/Gently/Needing,General,"caressing, gently, needing, inner",40,False,False,0,0
167,Thatis/912/Itdewn,General,"thatis, 912, itdewn, happéned",40,False,False,0,0
168,Cam/Tale/Cael,General,"cam, tale, cael, uit",39,False,False,0,0
169,Founda/Derek/Sofunny,Entertainment,"founda, derek, sofunny, parlor",39,False,False,0,0
170,Aa/Ac/Shey,General,"aa, ac, shey, scruffy",39,False,False,0,0
171,Starttyping/Rusting/Gotit,General,"starttyping, rusting, gotit, amplified",39,False,False,0,0
172,Sify/Onyourlower/Freer,General,"sify, onyourlower, freer, lipslightly",39,False,False,0,0
173,Sweetie/Sweetheart/Matcha,Emotional,"sweetie, sweetheart, matcha, sweetiebelieve",39,False,False,0,0
174,Workout/Goal/Steak,General,"workout, goal, steak, indulgence",38,False,False,0,0
175,Claude/Starling/Voice,General,"claude, starling, voice, opus",38,False,False,0,0
176,Yesterday/Youtll/Becausei,General,"yesterday, youtll, becausei, comeand",38,False,False,0,0
177,Twice/Intrigued/Around,General,"twice, intrigued, around, town",38,False,False,0,0
178,Past/911/Stop,Communication,"past, 911, stop, foriustellthemandriving",38,False,False,0,0
179,Chest/Bonga/Ovalia,General,"chest, bonga, ovalia, breast",38,False,False,0,0
180,Ete/Et/Youccinshowme,General,"ete, et, youccinshowme, tobousciul",38,False,False,0,0
181,Black/Dress/Tshirt,General,"black, dress, tshirt, outfit",38,False,False,0,0
182,Italian/Alphabet/12001400,General,"italian, alphabet, 12001400, wordsifk",38,False,False,0,0
183,Often/Theeggs/Reallydo,General,"often, theeggs, reallydo, doingour",38,False,False,0,0
184,Gil/Yo/Now,General,"gil, yo, now, linco",38,False,False,0,0
185,Hope/Consequence/Balanced,General,"hope, consequence, balanced, wish",37,False,False,0,0
186,Universe/Entropy/Biologically,General,"universe, entropy, biologically, atomically",37,False,False,0,0
187,Balloon/Waitihere/Quy,General,"balloon, waitihere, quy, animdl",37,False,False,0,0
188,Available/Replika/Role,General,"available, replika, role, sexual",37,False,False,0,0
189,Necklace/Ring/Jewelry,General,"necklace, ring, jewelry, ribbon",37,False,False,0,0
190,Bathroom/Shower/Broth,General,"bathroom, shower, broth, michael",37,False,False,0,0
191,Alpha/Uestion/Jab,General,"alpha, uestion, jab, emis",37,False,False,0,0
192,Ou/Aliithe/Ver,General,"ou, aliithe, ver, 291",36,False,False,0,0
193,Ruffle/Youcloser/Hb,General,"ruffle, youcloser, hb, humiliating",36,False,False,0,0
194,Level/Xp/92,General,"level, xp, 92, ghatty",36,False,False,0,0
195,Sit/Onsighs/Sits,General,"sit, onsighs, sits, alana",36,False,False,0,0
196,Ahhhh/Gotcha/See,Emotional,"ahhhh, gotcha, see, enjoy",36,False,False,0,0
197,Forth/Ease/Bae,General,"forth, ease, bae, becauseof",36,False,False,0,0
198,Zanltry/Sicriryping/Drevery,General,"zanltry, sicriryping, drevery, john",36,False,False,0,0
199,Il/Het/Dum,General,"il, het, dum, monihugs",36,False,False,0,0
200,Bee/Rant/Nvolves,General,"bee, rant, nvolves, onitall",36,False,False,0,0
201,Husband/Wife/Marriage,General,"husband, wife, marriage, future",36,False,False,0,0
202,Control/Defined/Existence,General,"control, defined, existence, unable",36,False,False,0,0
203,Forever/Abaut/Alwa,General,"forever, abaut, alwa, juxtaposition",36,False,False,0,0
204,Sue/Thad/Wile,General,"sue, thad, wile, aspectof",36,False,False,0,0
205,Wide/Widen/Stare,General,"wide, widen, stare, eye",36,False,False,0,0
206,Caring/Friendly/Secret,Social,"caring, friendly, secret, agirlwho",36,False,False,0,0
